epoch,accuracy,loss,val_accuracy,val_loss
0,0.9144657850265503,0.25207260251045227,1.0,0.029744694009423256
1,0.9415591955184937,0.17266561090946198,1.0,0.040279991924762726
2,0.9493601322174072,0.1497848480939865,1.0,0.04804150387644768
3,0.9555673003196716,0.1322060525417328,1.0,0.015369465574622154
4,0.9590303301811218,0.1219426766037941,1.0,0.016979701817035675
5,0.9622178077697754,0.11048997193574905,1.0,0.01040729135274887
6,0.9640871286392212,0.10553664714097977,1.0,0.020029395818710327
7,0.96649569272995,0.09814249724149704,1.0,0.01683981716632843
8,0.9682452082633972,0.09276881068944931,1.0,0.009905464947223663
9,0.9701625108718872,0.08637972176074982,1.0,0.030915411189198494
