epoch,accuracy,loss,val_accuracy,val_loss
0,0.7585678100585938,0.6663610935211182,0.75,0.4847606122493744
1,0.8150673508644104,0.5099942684173584,0.78125,0.42679518461227417
2,0.8306810855865479,0.46935683488845825,0.90625,0.3493616580963135
3,0.8380865454673767,0.4503353238105774,0.84375,0.395194947719574
4,0.8414058089256287,0.43831002712249756,0.84375,0.36540549993515015
5,0.8453122973442078,0.4298744201660156,0.875,0.3434605002403259
6,0.8478646278381348,0.42402058839797974,0.875,0.3254750669002533
7,0.8495782017707825,0.4182242751121521,0.875,0.3365217447280884
8,0.8505128622055054,0.4166625142097473,0.84375,0.3613736629486084
9,0.8516871929168701,0.4144132733345032,0.84375,0.3519118130207062
